Location,Exterior_Color,Interior_Color,Drive_Train,MPG,Fuel_Type,Transmission,Engine,Mileage,Status,Year,Brand,Model
dallas-tx,Titanium Metallic,Dark Stone,Front-wheel Drive,20-26,Gasoline,Automatic,"3.3L V-6 DOHC, variable valve control, regular unleaded, engine","149,864 mi.",Used,2007,Toyota,Camry Solara SE
dallas-tx,Red,Titanium,Front-wheel Drive,17-26,E85 Flex Fuel,Automatic,"3.9L V-6 variable valve control, engine with 227HP","106,396 mi.",Used,2009,Buick,Lucerne CXL
dallas-tx,Iridium Silver Metallic,Black,All-wheel Drive,15-23,Gasoline,7-Speed Automatic,5.5L V8 32V GDI DOHC Twin Turbo,"37,232 mi.",Used,2016,Mercedes-Benz,AMG S AMG S 63-VALUE VEHICLE
dallas-tx,Magnetic Gray Metallic,Black,Front-wheel Drive,,Hybrid,Automatic CVT,1.8L I4 16V MPFI DOHC Hybrid,"92,765 mi.",Used,2018,Toyota,Prius Prime Plus
dallas-tx,Blue,Gray,Front-wheel Drive,NULL,Gasoline,A/T,200.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,"104,550 mi.",Used,2008,Buick,LaCrosse CX
dallas-tx,Deep Blue Pearl,Charcoal,Front-wheel Drive,28-39,Gasoline,Automatic,"2.5L I-4 gasoline direct injection, DOHC, CVTCS variable valve c","110,528 mi.",Used,2020,Nissan,Altima S FWD
dallas-tx,Summit White,Jet Black,All-wheel Drive,25-28,Gasoline,9-Speed Automatic,1.5L I4 16V GDI DOHC Turbo,"45,754 mi.",Used,2022,GMC,Terrain SLT
dallas-tx,Borrego Beige Metallic,Ivory,Four-wheel Drive,22-28,Gasoline,5-Speed Automatic,2.4L I4 16V MPFI DOHC,"108,102 mi.",Used,2007,Honda,CR-V EX
dallas-tx,Black,Beige,Front-wheel Drive,NULL,Gasoline,A/T,275.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,"50,024 mi.",Used,2007,Buick,Lucerne CXS
dallas-tx,Brown,Black,Front-wheel Drive,21-27,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,"92,836 mi.",Used,2018,Toyota,Highlander Limited
dallas-tx,Brown,Black,Front-wheel Drive,25-35,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,"31,804 mi.",Used,2019,Buick,LaCrosse Essence
dallas-tx,Summit White,Medium Gray/Graphite,Four-wheel Drive,13-17,Gasoline,Automatic,"Vortec 5.3L V-8 regular unleaded, engine with 285HP","78,396 mi.",Used,2003,Chevrolet,Avalanche 1500
dallas-tx,Midnight Black / Sudan Beige Metallic,Charcoal,Four-wheel Drive,15-19,Gasoline,5-Speed Automatic,3.8L V6 24V MPFI SOHC,"206,470 mi.",Used,2005,Mitsubishi,Montero Limited
dallas-tx,Black,Gray,Rear-wheel Drive,,E85 Flex Fuel,4-Speed Automatic,5.3L V8 16V MPFI OHV Flexible Fuel,"121,383 mi.",Used,2006,Chevrolet,Avalanche LS
dallas-tx,Black,Black,Four-wheel Drive,NULL,Gasoline,4-Speed A/T,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,"104,800 mi.",Used,2012,Jeep,Liberty Jet
dallas-tx,Brilliant Black Crystal Pearlcoat,Black,Front-wheel Drive,19-28,Gasoline,9-Speed Automatic,3.6L V6 24V MPFI DOHC,"32,073 mi.",Used,2023,Chrysler,Voyager LX
dallas-tx,Tan,Tan,Rear-wheel Drive,19-28,Gasoline,A,3.0L 300.0hp,"88,650 mi.",Used,2011,BMW,535 4dr Sdn 535i RWD
dallas-tx,Black,Black,Rear-wheel Drive,16-22,Gasoline,A,3.7L 210.0hp,"111,970 mi.",Used,2012,Jeep,Liberty Limited
dallas-tx,Silverstone Metallic,Black,Rear-wheel Drive,20-25,Gasoline,Manual,2.2L DOHC MPFI 16-valve VTEC I4 engine,"26,305 mi.",Used,2005,Honda,S2000
dallas-tx,Shimmering Silver,Meteor Blue,Front-wheel Drive,NULL,,1-Speed Automatic,Electric,"2,253 mi.",Used,2023,Hyundai,NEXO Limited
dallas-tx,Black,Black,Front-wheel Drive,,Hybrid,Automatic CVT,1.8L I4 16V MPFI DOHC Hybrid,"75,157 mi.",Used,2021,Toyota,Prius Prime LE
dallas-tx,Fairway Metallic,Light Titanium/Dark Titanium,Rear-wheel Drive,15-21,Gasoline,Automatic,"Vortec 5.3L V-8 variable valve control, regular unleaded, engine","217,359 mi.",Used,2013,Chevrolet,Avalanche LT
dallas-tx,–,–,Four-wheel Drive,17-20,Gasoline,Automatic,"Power Tech 3.7L V-6 regular unleaded, engine with 210HP","116,330 mi.",Used,2006,Jeep,Liberty Sport
dallas-tx,Oxford White,Medium Flint,Rear-wheel Drive,13-16,E85 Flex Fuel,4-Speed Automatic,4.6L V8 16V MPFI SOHC Flexible Fuel,"135,977 mi.",Used,2014,Ford,E250 Cargo
dallas-tx,Gray,Beige,All-wheel Drive,NULL,,A/T,620.0HP Electric Motor Electric Fuel System,225 mi.,Used,2023,Lucid,Air Touring
dallas-tx,Midnight Black Metallic,Carbon Black,Front-wheel Drive,26-33,Gasoline,Automatic,"1.5L I-3 gasoline direct injection, DOHC, variable valve control","61,304 mi.",Used,2022,MINI,Countryman Cooper
dallas-tx,Diamond Graphite Metallic,–,Rear-wheel Drive,18-25,Gasoline,5-Speed Automatic,3.5L V6 24V MPFI DOHC,"135,862 mi.",Used,2006,INFINITI,M35
dallas-tx,Silver,Gray,Front-wheel Drive,53-46,Hybrid,Automatic CVT,1.5L I4 16V MPFI DOHC Hybrid,"105,106 mi.",Used,2014,Toyota,Prius c Three
